id,content,label
1294,"Our team of 16 developers will be attending the tech summit on May 15th, 2025",1
914,she said to bring cookies chocolate cookies for the party tomorrow,1
1030,I am not particular. Where are they located,1
1513,machine learning algorithms could thats not what I meant as the data suggests,0
775,I am interested in moderately priced international food,1
1444,"Can someone explain the new-- got it, rule changes take effect next week",1
377,time to say bye but first what about those,0
1506,I need the table booked for monday at 12:15 for 3 people. Thanks. Also could i get the ref,1
610,I need to find a four stars hotel in the north that has indoor free parking,1
283,she told me that the document was um you know how sometimes you cant quite remember the,0
272,"deadass just fixed that blocking issue in like 5 minutes, I'm too nice with it",1
1560,after reviewing all the candidates ... we decided to promote sarah from within,1
1852,"You must have seen the email about the changes, didn't you",1
117,I also am looking for a train on wednesday leaving peterborough,1
1311,Could someone explain why the database is kind of like,0
1575,the development team mentioned something about ... which makes me wonder,0
514,Prolly gonna stay home this weekend cause I'm tired,1
1087,Should we try a different format? A more structured format for this query,1
1654,Can you recommend one and give their post code,1
84,Number of participants attending the,0
633,What about the biggest one,1
1760,about the ticket reference number 8GVKNM9J and the payment process is,0
3,I need the train for Saturday and I'm going to cambridge,1
1862,No please,1
1825,"You'll need your security badge to access the new wing, won't you",1
383,oh wait let me just uh try to remember what she said about,0
339,booking a taxi to Broughton House Gallery but wondering about the traffic and,0
1545,looking at these test results it seems like,0
1120,I've been trying to access trying to access my dashboard but it,0
1814,That is unfortunate. I can cut my stay down to a single night if that helps,1
1249,could you check if the system is i ran the diagnostics everything passed,1
1711,If we could implement a caching mechanism for the,0
975,"We should review the metrics, the Q1 metrics before the call",1
138,"I am also looking for a attraction called queens' college, can you get me information on that",1
1550,the presentation slides need more ... but im not exactly sure what kind of,0
891,whew that new car looks absolutely amazing,1
1936,youll need your passport for this trip wont you,1
1927,The package will be delivered between 1:00 PM and 3:00 PM today,1
1904,"That's really impressive how you handled the meeting, wasn't it",1
1195,im trying to figure out why the database keeps showing these,0
435,whew finally I managed to finish reading that thousand page novel,1
1043,"I'm tracking your responses, your pattern of responses to edge cases",1
1690,I'm trying to get to the police station but somehow it got to,0
1629,I need to take a train to Cambridge after 09:30,1
732,"Yes, please provide the phone number",1
723,right i see and then you mentioned something bout,0
1309,"The system appears to be-- actually, the performance metrics look perfect now",1
116,I need the departure time for that train,1
1416,Have you seen where they put the-- found the new tennis rackets in locker 204,1
669,hmm yeah yeah that makes way more sense than before,1
1008,"I'm blocked on authentication, blocked on SSO configuration specifically",1
982,Hotel near station,1
1203,i was looking at the reports and saw i fixed all the calculation errors,1
1369,We need to submit our projects by-- looks like we have until March 15th now,1
1169,the team wanted to know if we could maybe i mean unless you think we should,0
371,"The config file is in etc- no, var/config directory",1
227,"I-I was thinking about what you said about the, the project and I feel like",0
50,Yes. That's exactly what I'm looking for,1
40,Booking was successful. Reference number is : T4EHQENA. Anything else,1
1372,"Have you seen where the-- alright, found the study room on the third floor",1
145,Sounds good. Is there a ticket available on that train,1
977,I need access to the server - the development server in AWS,1
1721,"Ok, thanks for the",0
641,"Hello, I'm looking for information on the",0
1643,The weather forecast for next week's outdoor event shows,0
631,boutta start cookin some ramen cause im way too hungry now,1
909,I just need to leave after 08:45,0
27,I am looking for a cheap Chinese place that has,0
1175,when you get a chance could you take a look at the way the system is sort of,0
74,Still available,1
1370,i am planning a trip in cambridge,1
1648,That's all. Thank you very much,1
821,She kept saying arey listen to me while trying to,0
207,oh my my gosh the party was was so amazing and then we we all just,0
1994,with my sister,1
242,"I'm, I'm really disappointed in how the, the meeting turned out today",1
621,somethin tells me we shoulda taken the other route home,1
1948,this code needs to be refactored right,1
915,the printer in room twelve I mean the printer in room twelve needs new toner,1
1007,"The metrics look different, look completely different after the update",1
1426,Sounds great. That is a guest house correct? What part of town,1
182,the conference call was boring until they announced were all getting remote work options permanently,1
566,Gimme a sec while I try ta remember,0
1374,Remember when we used to hang out at that place where we would,0
979,"They're renovating the lobby, the main lobby on first floor",1
1671,The new coffee shop across from the park serves amazing pastries,1
1597,Device #45892 reported an error at 14:30 EST,1
1647,What is the phone number and address,1
554,Kinda thought maybe we could,0
1627,Could you explain the rates for,0
1473,I would like a moderately priced one on the east side,1
1410,When i tried accessing the course materials it kept showing,0
511,what should I do about the error message thats showing up in,0
1180,i was wondering if maybe oh i see youve already submitted the expense report,1
1020,"I've updated the workflow, the GitHub Actions workflow for testing",1
1995,since last Tuesday,1
1029,Thanks so much you've been a huge help,1
1300,I started working on the March report but something about these numbers,0
648,uh huh thats exactly what i was thinkin when they announced it,1
657,yep yep i hear ya bout the parking situation at work,1
289,the movie starts at seven no eight tonight at the mall cinema,1
1907,the client seems happy doesnt she though Im wondering if,0
1901,"The server's been acting up lately, hasn't it, and I think we should",0
1257,cant help you with that,1
1002,Have you seen my laptop my laptop that I left in the,0
1012,East part of town,1
933,yes I suppose we could try to,0
1665,The art museum is featuring a special exhibition on modern sculpture,1
1197,are we supposed to submit the oh the deadline got extended to next wednesday,1
469,"Hey listen, about what you mentioned earlier about the party that",0
1381,"I wanted to organize a-- wonderful, the surprise party is all set for Saturday",1
1623,order number four five seven two one and,0
18,What are the phone numbers for these colleges,1
400,oh hey speaking of what happened at the party when we were all,0
300,We're meeting at 3- I mean 4:30 PM at the conference center,1
1687,The winter farmers market will continue through the end of March,1
1737,"It does not matter. I am looking for a place to go in the West, please",1
798,"Yes, I was also looking for a place to stay somewhere in the north",1
1028,"I've fixed those issues, those linting issues from code review",1
1562,this painting technique requires ... at least three layers of watercolor,1
1079,Let's try another approach - another SYSTEMATIC approach to this problem,1
984,Im trying to remember the details the details about how we were,0
940,the client wants to meet wants to meet next Wednesday afternoon,1
1172,we need to discuss the budget for i pulled the numbers and were under target,1
324,I thought maybe if we could sort of um you know like when,0
1971,just as we were,0
257,im lowkey obsessed with how these sneakers look on me ngl theyre bussin,1
894,oh my god the surprise party actually worked,1
1463,children learn better when they not always true have hands on experience with the materials,1
539,"I was going to— Actually, I'm not sure what I was",0
942,I need to find my notes my notes from the meeting where,0
467,how are we supposed to handle the situation with the,0
1728,yes. book for 3 people,1
597,woulda helped ya earlier but i had this thing to do,1
286,the reason i called was because yesterday when i oh wait thats not what i meant to,0
385,yes the new security protocols are now fully implemented,1
1989,and then she,0
1074,Can we split the bill? Split the bill between four credit cards,1
1607,Is the museum open,1
1350,"I've been meaning to reconnect with-- oh, she just sent me a friend request",1
1107,I'm checking on my refund status - my refund from Order #LB-443,1
86,I was wondering if it would be possible to get the reference number now because I need to finalize some,0
1476,if we consider the financial implications of no thats not right and then the quarterly,0
750,"Right right, just like in that training video we watched",1
1691,Before pushing to production we need to make sure that the security,0
1579,during the meeting i wanted to bring up ... but i wasnt sure if,0
758,Which one would be best for dinner tonight probably,0
586,betcha cant guess what i got ya for ya birthday,1
1759,when you checked the logs didnt something seem,0
1331,We were supposed to meet at the-- I see they changed it to the new café downtown,1
656,I need a taxi from thanh binh,1
367,"The staging server is dev1- sorry, dev2.example.com",1
1668,The city council voted to expand the bike lane network downtown,1
1658,The spring flower show tickets went on sale this morning at nine,1
249,bruh the way them people at the store was trippin bout my,0
246,yo that new coffee spot downtown is straight fire the vibes are immaculate fam,1
896,"cool, that's all i need thanks",1
743,"Uh-huh, and then you were saying something about how the",0
992,"Hey @latishab, I need your review - your URGENT review on PR-2025",1
375,hmm yeah I definitely think the blue paint matches better with our furniture,1
120,and maybe adding,0
98,That sounds great. I'll need a reservation for 6 people for 4 nights on Thursday,1
1553,considering all the recent changes in ... and whether we should even,0
719,ah gotcha now i see why they changed the process,1
9,Yes please. I need to find a hotel on the north end of town. An expensive hotel,1
178,I am also looking for a train on sunday,1
528,Ain't nobody told me nuthin bout the meeting change,1
1329,Do you remember that time when we all went to the lake and suddenly,0
1866,"You're going to the meeting tomorrow morning, aren't you",1
1764,the cats been sleeping all day hasnt she,1
703,"No, but could you book a room on Tuesday for me please",1
179,these new shoes are really uncomfortable hey did you hear about the,0
1361,"I can't seem to find my-- nevermind, my calculator's in my locker",1
945,It will just be a table for one. Go ahead and book it,1
1923,the concert was absolutely worth it wasnt it,1
1335,Which one is better? This or that,1
332,"Send these files to latisha- oh sorry, I meant latishab with a 'b",1
1839,"The conference room needs to be booked in advance now, right",1
1822,"That presentation template looks much cleaner now, wouldn't you agree",1
58,Fez Club sounds great! Is the phone number available,1
308,Please call Sarah- I mean Jennifer in HR about the forms,1
1133,Yes. That's right,1
331,"My laptop password is Hunter2- no wait, it's Hunter3 now",1
1275,we need to discuss the new i drafted the proposal for next quarter,1
107,"Not today, thank you",1
1334,"I was thinking of calling my old-- oh, Sarah just texted me this morning",1
1261,"Actually, I would prefer the cinema",1
678,ah yeah i was just thinking bout what you said regarding,0
1385,I was just about to start studying when my laptop suddenly,0
925,she mentioned something about the conference the conference that was supposed,0
362,The security patch needs to be applied to all the um where was I,0
168,They said yes,1
813,My sensei was explaining something and then he just,0
572,lemme telya sumthin bout what happened at school today,1
1884,"no, i dont mind any",1
170,dealing with this customer service representative is making me so,0
1818,"Even though it was r raining, I still I still managed to finish my morning run",1
1944,the meeting starts at two oclock doesnt it,1
1578,Ithe recipe calls for letting the dough rest ... exactly twenty four hours,1
599,aint nobody ever told me why they always be,0
1677,"Thanks, I will need the reference number",1
1736,"According to the metrics, our platform usage has doubled since January",1
846,I would like to find a restaurant in the centre,1
1009,"The documentation needs updating, needs updating after the Q1 changes",1
420,gosh darn it I accidentally deleted all my vacation photos from last summer,1
473,"Hey listen, I really appreciate you taking the time to explain this to me",1
1532,social media engagement metrics those figures arent right while user interaction,0
1669,"Actually one more thin, I need a taxi from the hotel to the restaurant, I want to leave at 09:45",1
387,geez that movie was absolutely incredible from start to finish,1
1317,We might need to consider-- I see the team has already addressed that issue,1
493,"Mmm, I was thinking about what you said regarding the whole",0
1538,about the taxi pickup time at the college and maybe,0
38,"Uh, I was hoping to get a taxi, but",0
913,considering the neonatal unit's phone number and wondering if they also,0
65,"so i checked the menu and, um, the price was lower before but now",0
1957,they usually close at nine right but sometimes,0
730,"Ah gotcha, that explains the confusion in the meeting",1
1253,when you get a chance could you review the way that the system,0
950,about the price range and uh,0
1055,Can you remember where we saved those presentations those presentations from,0
1837,"Those quarterly reports look much better than expected, wouldn't you say",1
1468,I tried executing the new play but then everyone,0
1397,"Not right now, but could I have the postcode",1
1675,The local library has extended its weekend hours until eight pm,1
989,considering a guesthouse with free parking and also maybe some sort of,0
1614,Flight AA4527 is delayed by 45 minutes due to weather,1
1848,"That new Italian restaurant downtown is amazing, don't you think",1
1824,"I don't need a taxi, thanks for asking",1
463,"Hmm, you know that feeling when you're trying to remember",0
1141,Could you check my case number? My support case #2025-0312,1
1078,"I'm comparing your responses, your different responses across multiple prompts",1
1738,The conference room needs to be booked for next Thursday's meeting,1
1017,The dashboard isn't loading - the performance dashboard in Grafana,1
711,"No, that sounds good",1
1454,considering the west one and wondering if they have,0
461,"Oh wait, I just remembered something about the project that we",0
446,mm I wonder if perhaps we should consider how the,0
23,I would also like it to include free wifi and have a star rating of 2,1
778,"Mhm, okay, I see why everyone voted for that option",1
173,that was absolutely the best concert I have ever been to in my entire life,1
851,"Not at this time, Thank you",1
483,"Oh my gosh, so there I was in the grocery store when suddenly",0
926,the system keeps showing an error showing an error whenever I try to,0
1731,Please remember to log your hours in the new timesheet system,1
553,Ain't sure if I should mention how they,0
607,Centre has some,0
823,bro why you moving so challah take your time with it still,1
1715,heading out now bye will finish this tomorrow,1
949,Im trying to access the portal the company portal but it keeps,0
320,"The document is saved under Project X- sorry, Project Y final version",1
85,Yes please try the Shiraz Restaurant,1
521,oh before I forget I wanted to ask about the,0
494,"Yikes, I definitely should have brought an umbrella to work today",1
1812,I would be at Times Square on,0
384,oh my gosh these shoes are so comfortable I need to buy another pair,1
265,"Man, I can't believe how fire these commits are looking rn",1
710,oh right right now i understand the whole situation,1
73,"No I think that's everything, thanks",1
1621,The temperature in Lab 3 must remain at exactly 22.5°C,1
1689,The movie was interesting until the part where the main character,0
1010,I can't seem to find the document the document where we outlined,0
1190,im not sure if we should i tested the new feature and it works perfectly now,1
1998,no that takes crare of it,1
1423,During training someone mentioned that the team might,0
1149,the system keeps showing errors whenever i try to well actually let me just,0
1281,5 people for 4 nights starting from monday,1
1252,are we supposed to submit the oh the deadline got extended to next wednesday,1
1539,the artificial intelligence system learned ... to recognize complex patterns in data,1
1893,"The deadline seems pretty tight, doesn't it",1
956,I was wondering if- if maybe we could sort of,0
61,no hang on let me think about,0
772,"Uh-huh, now I get why everyone was so excited about it",1
1702,Please see what you can find out about jesus college,1
616,prolly need ta get more printer paper from the supply room,1
1704,I would not mind finding one with free wifi,1
345,"Please assign this ticket to Team Blue- uh no, Team Red instead",1
1570,looking at these analytics it seems like ... but then again maybe,0
759,I'll need those documents signed and returned by Friday afternoon,1
1720,Yes could you reserve that for me for 2 nights from Thursday for 3 people. I will need a reference number as well,1
404,leaving on Thursday and considering the train schedule at around,0
280,the thing about the project is that well you see what im trying to say is like when we,0
1094,Let's review your suggestion - your LATEST suggestion about the code,1
598,sposed to rain all week but the weather keeps changin,1
1349,My best friend from elementary school tried to explain why she never,0
1943,were supposed to meet them there arent we or should we,0
1399,How about for 10:15,1
513,What other cuisines are available for a moderate price range in the centre of town,1
1090,Can you verify this information? This technical information you provided,1
1268,i wasnt sure about the requirements but i found them in the project brief,1
1598,Here's the invoice #45721 from January,1
721,mmhm thats exactly what i needed to know bout the update,1
1557,I would like a swimming pool at the centre of town,1
2,"I actually really need a booking in the east. Is it possible for you to book me at the Express Holiday Inn by Cambridge instead? For Tuesday, 3 people 4 nights",1
291,can you pick up some milk and uh bread and oh yeah eggs from the store,1
1474,During the final quarter when we were about to,0
474,"Geez, I had no idea planning a wedding would be this complicated",1
75,"What do you recommend? I will be need the address, entrance fee, and postcode for what you recommend please",1
184,i burnt the cookies i was baking but that led me to discover this fantastic bakery down the street,1
1291,"Have you seen the latest-- yes, I notice you approved it this morning",1
1332,My oldest friend was telling me about how she wanted to maybe,0
1932,theres no way to fix this anymore is there,1
768,Is that in the center of town,1
319,Before we start I just wanted to say that um well the thing is,0
323,They mentioned something about implementing the new uh what was it,0
974,I think we should review the policy the policy about how we,0
898,but I thought when we discussed the,0
924,could you help me find the file the file that has the,0
807,The professor was explaining and then said donc basically we all failed,1
1954,those shoes look brand new on you dont they,1
1723,"Again, thanks for",0
1086,the way I see it if we could somehow manage to coordinate with the development team on this specific feature then perhaps we,0
1956,that new restaurant was amazing wasnt it,1
1144,"Yes, book me a table for 2 people at 12:15 on monday",1
1446,"We were planning to practice-- right, the field's available after lunch",1
1225,does anyone know how to i found the solution in the documentation wiki,1
808,Maybe a guesthouse would have free wifi and,0
667,oh yeah yeah so when they were explaining how the,0
1163,were trying to figure out how to the new process is now fully documented,1
1953,youve already finished the report havent you,1
391,whoa hang on did you see that just now when the,0
1664,My grandmother's secret recipe requires special ingredients that,0
626,imma tell ya the real reason why they was,0
569,Finna explain why I couldn't make it to the,0
1827,"The client's been asking for updates, hasn't she, and I thought",0
488,"Wow, speaking of what happened at the restaurant when we",0
1272,the security team mentioned some i implemented all the required patches,1
769,"Yeah yeah, exactly what I thought about the new policy",1
532,There will be 8 guests,1
489,"Er, you know how sometimes when you're trying to explain",0
782,Yo that's bare jokes still bruv wagwan with people these days,1
1478,lets schedule the meeting for I cant make it sometime next week when the,0
1792,if we look at these metrics dont you feel that maybe,0
1391,"I couldn't remember if we needed-- checked my notes, it's due by midnight",1
1321,"Do we need to wait for-- no, all the tests passed successfully",1
223,yes I can definitely help you with that task right now,1
198,"All that sounds perfect. I just need the price on one train ticket, please. Thank you and have a nice day",1
1250,considering the north and moderate price range and maybe something like,0
1033,"I'm allergic to nuts, allergic to ALL nuts including pine nuts",1
923,I need to find the blue folder the blue folder in the bottom drawer,1
34,I want to find a train leaving Cambridge and going to Bishops Stortford. Can you help me,1
943,can you send me those files those project files from last weeks meeting,1
704,I need a train that leaves after 11:00 and goes to Cambridge,1
1960,by taking the bus,1
1108,Have you received my documentation? My warranty claim documentation,1
325,"We need five- no, make that six copies of the report, please",1
1590,"The shipment of 275 units will arrive on March 15th, 2025",1
436,hey thanks so much for remembering my birthday and sending that card,1
317,"Can you send this to Daniel- oh wait, I meant David in marketing",1
969,could you check the status the status of that order that we,0
1706,looking at the Parkside police station location and wondering about the exact,0
1523,she finished writing her novel ... just before the submission deadline,1
1318,not sure about that,1
751,"Ah yes, yes, that's exactly what I was trying to remember",1
221,the the team did such an an amazing job on the project we we exceeded all goals,1
131,I can't bare to watch the adds on this website anymore,1
834,My abuela started telling me mira mira and suddenly,0
1924,these files need to be encrypted dont they,1
1524,the mathematics professor ... explained the concept in a way that finally made sense,1
1533,i was thinking about what you said regarding the ... and whether we should,0
1136,The product isn't working - the device I purchased last week isn't working,1
141,Considering the gallery but what's,0
237,i cant find that,1
1752,The weather forecast predicts heavy rain throughout the weekend,1
26,"Thanks, that's all I need today. You've been a great help",1
1882,"You'll be attending the workshop next week, won't you",1
1916,that jacket looks perfect on you doesnt it,1
1935,everyone loves chocolate cake dont they,1
450,er well the thing about what we discussed earlier was,0
39,"Actually, I was about to call a taxi when I realized",0
1913,the wifi seems faster today isnt it,1
1456,we could try the new restaurant I heard its expensive downtown they have amazing reviews online,1
1807,when you mentioned the budget cuts werent they supposed to,0
869,my yaar was telling me something bout how the situation,0
1451,the data shows that customer satisfaction well actually increased by thirty percent over the last quarter,1
12,I'm looking for a train that goes to cambridge and leaves on friday. Any ideas,1
1115,No I believe we got everything covered today.Thanks. Goodbye,1
1420,We were in the middle of the game when something about,0
841,your girl really said sayonara and blocked me everywhere,1
451,gosh its like whenever I think about how people sometimes,0
321,So if you look at the diagram on page- no wait let me just,0
210,these these headphones are are just so uncomfortable i i need to return them right away,1
988,"I've updated the document, the requirements document in SharePoint",1
1341,"My best friend from college was-- you know what, she's coming to visit in April",1
797,Man's really pulled up like konnichiwa y'all and left straight away,1
1432,The tournament schedule showed that we might need to,0
1005,They were talking about the changes the changes to our,0
1165,I am also looking for an attraction called the kettle's yard,1
1700,"Yes. I need free parking, and I prefer the southern part of town",1
372,Run the script with Python 2- I mean Python 3.8 or higher,1
1314,"Can someone explain why the-- oh, I found the documentation you shared",1
1495,medical research indicates that actually I read when patients undergo,0
590,cmere and look at what the cat did to the curtains,1
1551,the training program successfully prepared ... fifteen new certified instructors,1
135,We should higher someone to fix the broken printer,1
816,"Well, you see, the thing about the- about the project is that um",0
1367,"Yes, please book the TR8431 train. Thank you",1
902,Im looking for Sarah from accounting Sarah who handles the payroll systemell,1
1697,that is it for today. thanks for helping,1
1872,"I've been working here for five years now, haven't I",1
439,geez how do people even manage to deal with all the,0
1772,when discussing the new policy dont you wonder whether,0
1912,theyve changed the schedule again havent they,1
602,Sounds good. I need the postcode please,1
1851,"You've seen how they handle these situations, haven't you, like that time",0
457,"Oh my goodness, that was the most delicious pasta I've ever tasted",1
1060,I need to figure out the schedule the schedule for next,0
1430,Our team captain tried to explain why we should,0
1492,advanced robotics technology enables wait let me explain precise surgical procedures,1
1412,I thought our team practice would-- looks like Coach rescheduled for Thursday,1
1917,Maybe there is one but i think it uhm,0
1541,the historical documents revealed ... a completely different version of events,1
1099,Can you remember our context? Our previous context from this session,1
1888,"This new framework is much more efficient, isn't it",1
618,Are there any 1-star hotels with free parking,1
1685,Bye,1
803,I was like waiting there and then he says mach schnell and starts running,1
603,hafta admit dat new security guard is doin a real good job,1
309,"The password should be Capital P- um, no, lowercase p, followed by 2023",1
1515,that restaurant downtown ... serves the most authentic thai food ive ever tasted,1
14,"You know, it’s kind of weird because",0
561,Bout ta start cookin dinner if ya wanna join,1
214,the new the new software update is is making everything run so so much smoother now,1
7,"Goodbye, that is all for today",1
839,my nani always says beta eat properly otherwise youll get sick,1
1512,the software update needs to be installed ... before we can access the new features,1
640,considering the expensive options at peking restaurant and maybe,0
298,"Could you grab me that file- the blue one, no the RED one from my desk",1
1129,I need technical support - immediate technical support for my device,1
399,i am looking for a expensive place to eat in the centre,1
1145,"No, that's not right. We need to do",0
416,oh my goodness that sunset over the beach was absolutely breathtaking,1
854,i told my nani about what happened and she just started,0
543,Ya know how sometimes when yer tryna explain,0
1181,can you tell me where the i found the missing files in the backup folder,1
202,my my daughter she she did so amazing in her in her first dance recital im so proud,1
1777,thinking about the new project timeline isnt there a way to,0
1521,i think the best way to learn piano is ... actually through daily practice with a metronome,1
1357,I would like to book a taxi to commute between the two places,1
1159,i was thinking we should maybe we need to schedule the team meeting for next tuesday morning,1
860,That was all I needed,1
696,Can you look at the cheap price range for me please,1
817,She really said vale vale and then ghosted everyone après ça,1
1977,next to Sarah,1
1394,"Was anyone able to access the-- oh good, the server's back up finally",1
388,hey you know that thing where people sometimes,0
175,i was really frustrated with the traffic today but seeing my daughter win her science fair made everything worthwhile,1
878,giggle hehe that meme you sent was actually hilarious,1
146,"No, that's all I need today. I appreciate your help",1
310,When you get to the part about the budget uh like the section where we,0
1390,The library hours might be-- they've extended them for finals week now,1
165,meeting you has changed everything and made my whole world brighter,1
1979,if you want to,0
1845,"We could try that new approach, couldn't we, if",0
1899,"We should implement these security patches first, shouldn't we",1
235,"Oh my, my heart started racing when I saw the, the email from",0
735,"That will be all, thank you",1
187,"Yes, that will be all. Thank you",1
328,"The deadline is next Monday- no, Tuesday at 5 PM sharp",1
1348,"Do you think we should plan the-- great, the friendship bracelets arrived today",1
1841,"They moved the deadline to next Friday, didn't they",1
1222,can we discuss the way that the system is kind of whenever it,0
1962,during summer break,1
1226,i was just about to start the deployment when suddenly the whole,0
1142,I need to verify my identity - verify my account details right now,1
1453,the project deadline needs to be hold on a sec extended until next month due to technical issues,1
438,oh right now I remember where I parked my car in the garage,1
1162,do you know if anyone has i already updated the project timeline,1
330,Let's schedule it for May- I meant June 15th at 2 PM,1
1640,"That is everything, still ironing out details, so I will call them later, thanks for your help",1
1855,"We should probably tell the manager about this, shouldn't we, considering",0
1861,They're supposed to deliver the hardware today arent they unless,0
1745,They've implemented a new recycling program in our office building,1
1889,"We've already discussed this in the standup, haven't we",1
882,squeal eeeee I can't believe I got the job offer,1
501,"Hi, I need a moderate price range restaurant in the centre of town",1
46,uh i was expecting the fare to be lower but,0
635,Still got some questions about city centre though maybe we can,0
530,Shoulda seen how many people was at the mall today,1
1343,"Should we invite the group to-- perfect, I notice you created the event already",1
1256,i started analyzing the performance data but then i noticed that it,0
1061,Price does not matter,1
1809,if we consider the previous results dont you think we should,0
811,Bro that's cap fr fr على راسي I wouldn't lie about this,1
303,"I'll take the chicken salad- actually, make that a Caesar salad instead",1
668,not really sure because I have to,0
201,when when i tried to to explain the problem they just kept um kept,0
102,Thank you very much. Will they be contacting me,1
1461,We need to figure out the batting order unless someone,0
1770,given the current situation dont you suppose we might,0
1470,I am not sure of the type of food but could you please check again and see if you can find it? Thank you,1
1641,During the town hall meeting several residents expressed concerns about,0
1638,The magazine article mentioned an interesting method for growing,0
1784,You're welcome,1
1255,4 people for 5 nights starting Sunday and I also need the ref # too please,1
434,well actually now that you mention the way that sometimes,0
376,ugh fine I guess we can go to that restaurant you suggested for dinner,1
991,Can you check the status check the status of that thing where we,0
277,i need to book a flight for next no wait for this thursday I mean friday morning to chicago,1
1684,Our neighborhood watch program has reduced incidents significantly,1
484,"Well, the thing about why I couldn't make it to the event",0
1505,cognitive behavioral therapy can let me stop you there when patients experience,0
559,we need to figure out what happened to those files that were in maybe,0
1414,The swimming competition might be-- I see it's scheduled for March 12th,1
1548,the research team discovered ... a previously unknown species of butterfly,1
937,Of course,1
